Restaurante Familiar Karrilocas, Av canal de Garay Calle 1 S/N Mz 29 No 14 José López Portillo Iztapalapa 09920 CDMX
Cocina Las Canchas, Diagonal Jdn. de los Olivos 47 Jardines de San Lorenzo Tezonco Iztapalapa 09940 Ciudad de México CDMX
Brochelukaz, Anillo Perif. Canal de Garay 423 El Vergel 09919 El Vergel Iztapalapa 09919 Ciudad de México CDMX
Burger papi's, Av Emiliano Zapata Río Mississippi Esq Valle de San Lorenzo Iztapalapa 09940 Ciudad de México CDMX
Snack Bar La Locura,  Av. Ignacio Aldama 170 San Lorenzo Tezonco Iztapalapa 09900 Ciudad de México CDMX
Barbacoa Paty, Calle Río Nilo MZ 435 Valle de San Lorenzo tezonco Valle de San Lorenzo Iztapalapa 09970 Ciudad de México CDMX
Hamburguesa ANNIS, 9940 Av. Ignacio Aldama MZ8 LT1 Jardines de San Lorenzo Tezonco Iztapalapa 09900 Ciudad de México CDMX
Casa Mab Desayunos comida y tacos, Zacahuitzco El Rosario Iztapalapa 09960 Ciudad de México CDMX
Camarón Pambolero, C. 13 Mz 94 Lt18 José López Portillo Iztapalapa 09920 Ciudad de México CDMX
Don Rafa, el 09960 de C. Nogal MZ36 LT13 El Molino Tezonco Iztapalapa CDMX
Restaurante el Morelense Cecina de Yecapixtla, Jardines de los Alcatraces esquina Av. Ignacio Aldama Iztapalapa 09940 CDMX
Tacos culeros, C. 19 MZ38 LT8 José López Portillo Iztapalapa 09920 Ciudad de México CDMX
Antojitos Mexicanos, Zacahuitzco local 118 San Antonio Iztapalapa 09900 Ciudad de México CDMX
Marisquería La morena, Av. De las torres y Canal de Chalco 43 Valle de San Lorenzo Iztapalapa 09970 Ciudad de México CDMX
EL D'LEYTE, Av. Cuauhtémoc N.10 San Lorenzo Tezonco Xochimilco 09960 Ciudad de México CDMX
Mi Cocina, Zacahuitzco s/n-128 San Antonio Iztapalapa 09900 Ciudad de México CDMX
Tacos Pa' Padrinos, Av. de las Torres 107 La Esperanza Iztapalapa 09910 Ciudad de México CDMX
Almacén29, Toltecas 29 San Antonio Iztapalapa 09900 Ciudad de México CDMX
Rey Lagarto, Benito Juárez (Geranio) El Rosario Iztapalapa 09930 Ciudad de México CDMX
El comal Oaxaqueño, Emiliano Zapata N°7 Isabel de Portugal C.P. D.F. Miguel Lerdo de Tejada San Antonio Iztapalapa 09900 CDMX
Cocina Lolita, Río Danubio 244 Valle de San Lorenzo Iztapalapa 09970 Ciudad de México CDMX
Pescados y mariscos Tio Froy,    Benito Juárez 23 San Lorenzo Iztapalapa 09900 Ciudad de México CDMX
El Café de todos, Décima Cda. Jose Clemente Orozco 11 Valle de San Lorenzo Iztapalapa 09970 Ciudad de México CDMX
El callejón de los abuelos, 09900 J. Patricio Morlete Ruiz 13 Juan Patricio morlete Ruiz#13 Iztapalapa 09900 Ciudad de México CDMX
